# Manufacturer-specific trouble codes.
#
# Generated by "cargo import" — do not edit by hand.
#
# J2012 reserves these ranges but not their meanings, so the same code means
# different things on different marques. Rows carry the make where the source
# named one; an empty make is a definition the source did not attribute, and is
# used only when nothing better matches.
#
# Records are sorted by code then make; internal/dtc verifies that on load.
#
# format: code,make,description
P1332,bmw,Knock Sensor 4 Low Input
P1332,volkswagen,Cylinder 8 Knock Control Limit Attained
P1333,bmw,Knock Sensor 4 High Input
P1335,buick,CKP Circuit
P1335,cadillac,CKP Circuit
P1335,chevy,CKP Circuit
P1335,chrysler,CKP Circuit
P1335,geo,Crankshaft Position Sensor Circuit
P1335,gm,CKP Circuit
P1335,gmc,CKP Circuit
P1335,lexus,CKP Sensor Circuit Malfunction During Engine Running
P1335,mercedes,CKP Sensor IFI
P1335,nissan,Crankshaft Position Sensor REF
P1335,oldsmobile,CKP Circuit
P1335,saturn,CKP Circuit
P1335,toyota,No Crankshaft Position Sensor Signal Engine Running
P1335,volkswagen,Engine Torque Monitoring 2 Control Limit Exceeded
P1336,,Crank / Cam Sensor Range / Performance
P1336,acura,CKP Sensor B Range Performance
P1336,buick,Crankshaft Position (CKP) System Variation Not Learned
P1336,cadillac,Crankshaft Position (CKP) System Variation Not Learned
P1336,chevy,Crankshaft Position (CKP) System Variation Not Learned
P1336,chrysler,Crankshaft Position (CKP) System Variation Not Learned
P1336,gm,Crankshaft Position (CKP) System Variation Not Learned
P1336,gmc,Crankshaft Position (CKP) System Variation Not Learned
P1336,honda,CKP Sensor B Range Performance
P1336,infiniti,CKP Sensor B Range Performance
P1336,jaguar,Crankshaft Camshaft Sensor Range Performance
P1336,nissan,Crankshaft Position Sensor CKPS
P1336,oldsmobile,Crankshaft Position CKP System Variation Not Learned
P1336,saturn,Crankshaft Position CKP System Variation Not Learned
P1336,volkswagen,Engine Torque Adaptation At Limit
P1337,acura,CKP Sensor B Low Input
P1337,honda,CKP Sensor B Low Input
P1337,infiniti,CKP Sensor B Low Input
P1337,volkswagen,CMP Sensor Bank 1 Short To Ground
P1338,volkswagen,CMP Sensor Bank 1 Open Circuit Or Short To B+
P1339,volkswagen,Crankshaft Position Engine Speed Sensor Cross Connected
P1340,,Camshaft Position Sensor B Circuit Malfunction
P1340,bmw,Multiple Cylinder Misfire During Start
P1340,jaguar,Camshaft Position Sensor B Circuit
P1340,lexus,Igniter Circuit Malfunction No 8
P1340,volkswagen,CKP CMP Sensor Signals Out Of Sequence
P1341,,Camshaft Position Sensor B Range / Performance
P1341,bmw,Multiple Cylinder Misfire With Fuel Cut-off
P1341,jaguar,Camshaft Position Sensor B Circuit Range Performance
P1341,volkswagen,Ignition Coil Output Stage 1 Short To Ground
P1342,bmw,Misfire During Start Cylinder 1
P1342,volkswagen,Ignition Coil Power Output State 1 Short To B+
P1343,bmw,Misfire Cylinder 1 With Fuel Cut-off
P1343,volkswagen,Ignition Coil Output Stage 2 Short To Ground
P1344,bmw,Misfire During Start Cylinder 2
P1345,,SGC (Cam Position) Sensor Circuit Malfunction/ Crankshaft Position - Camshaft Position Correlation
P1345,bmw,Misfire Cylinder 2 With Fuel Cut-off
P1345,buick,CKP/CMP Correlation
P1345,cadillac,CKP/CMP Correlation
P1345,chevy,CKP/CMP Correlation
P1345,chrysler,CKP/CMP Correlation
P1345,gm,CKP/CMP Correlation
P1345,gmc,CKP/CMP Correlation
P1345,kia,No SGC Signal 1.6L
P1345,lexus,VVT Sensor Circuit Malfunction Bank 1
P1345,mazda,No CMP or SGC Signal
P1345,oldsmobile,CKP CMP Correlation
P1345,saturn,CKP CMP Correlation
P1345,volkswagen,Ignition Coil Output Stage 3 Short To Ground
P1346,,Fuel Level Sensor B Circuit Malfunction
P1346,bmw,Misfire During Start Cylinder 3
P1346,buick,Intake Camshaft Position (CMP) Sensor System Performance
P1346,cadillac,Intake Camshaft Position (CMP) Sensor System Performance
P1346,chevy,Intake Camshaft Position (CMP) Sensor System Performance
P1346,chrysler,Intake Camshaft Position (CMP) Sensor System Performance
P1346,geo,Intake Camshaft Position System Performance
P1346,gm,Intake Camshaft Position (CMP) Sensor System Performance
P1346,gmc,Intake Camshaft Position (CMP) Sensor System Performance
P1346,lexus,VVT Sensor Range Performance Problem Bank 1
P1346,oldsmobile,Intake Camshaft Position CMP Sensor System Performance
P1346,saturn,Intake Camshaft Position CMP Sensor System Performance
P1346,volkswagen,Ignition Coil Power Output State 3 Short To B+
P1347,,Fuel Level Sensor B Range / Performance
P1347,bmw,Misfire Cylinder 3 With Fuel Cut-off
P1347,volkswagen,Bank 2 Crankshaft Camshaft Position Sensor Signal Out Of Sequence
P1348,,Fuel Level Sensor B Circuit Low
P1348,bmw,Misfire During Start Cylinder 4
P1348,volkswagen,Ignition Coil Power Output Stage 1 Open
P1349,,Fuel Level Sensor B Circuit High
P1349,bmw,Misfire Cylinder 4 With Fuel Cut-off
P1349,geo,Intake Camshaft Position System
P1349,lexus,VVT System Malfunction Bank 1
P1349,toyota,VVT System
P1349,volkswagen,Ignition Coil Power Output Stage 2 Open
P1350,,Fuel Level Sensor B Intermittent/Bypass Line Monitor
P1350,bmw,Misfire During Start Cylinder 5
P1350,buick,Ignition Contol System
P1350,cadillac,Ignition Control System
P1350,chevy,Ignition Control System
P1350,chrysler,Ignition Control System
P1350,gm,Ignition Control System
P1350,gmc,Ignition Control System
P1350,lexus,VVT Sensor Circuit Malfunction Bank 2
P1350,mercedes,Injection Sensor Solenoid
P1350,oldsmobile,Ignition Control System
P1350,saturn,Ignition Contol System
P1350,volkswagen,Ignition Coil Power Output Stage 3 Open
P1351,,IDM Input Circuit Malfunction/ Ignition Coil Control Circuit High Voltage
P1351,bmw,Misfire Cylinder 5 With Fuel Cut-off
P1351,buick,IC Circuit High Voltage
P1351,cadillac,IC Circuit High Voltage
P1351,chevy,IC Circuit High Voltage
P1351,chrysler,IC Circuit High Voltage
P1351,ford,Ignition Diagnostic Monitor Circuit Input Fault
P1351,gm,IC Circuit High Voltage
P1351,gmc,IC Circuit High Voltage
P1351,lexus,VVT Sensor Range Performance Problem Bank 2
P1351,lincoln,Ignition Diagnostic Monitor Circuit Input Fault
P1351,mazda,Ignition Diagnostic Monitor Signal Lost To PCM Or Out Of Range
P1351,mercedes,Injection Sensor Circuit
P1351,mercury,Ignition Diagnostic Monitor Circuit Input Fault
P1351,oldsmobile,IC Circuit High Voltage
P1351,saturn,IC Circuit High Voltage
P1352,,Ignition Coil A Primary Circuit Malfunction
P1352,bmw,Misfire During Start Cylinder 6
P1352,buick,IC Output High/Pulse Detected When Grounded Cyl.2
P1352,cadillac,IC Output High/Pulse Detected When Grounded Cyl.2
P1352,chevy,IC Output High/Pulse Detected When Grounded Cyl.2
P1352,chrysler,IC Output High Pulse Detected When Grounded Cyl 2
P1352,ford,Ignition Coil A Primary Circuit Fault
P1352,gm,IC Output High Pulse Detected When Grounded Cyl 2
P1352,gmc,IC Output High Pulse Detected When Grounded Cyl 2
P1352,lincoln,Ignition Coil A Primary Circuit Fault
P1352,mazda,Ignition Coil A Primary Circuit
P1352,mercedes,Needle Lift Sensor
P1352,mercury,Ignition Coil A Primary Circuit Fault
P1352,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 2
P1352,saturn,IC Output High Pulse Detected When Grounded Cyl.2
P1353,,Ignition Coil B Primary Circuit Malfunction
P1353,bmw,Misfire Cylinder 6 With Fuel Cut-off
P1353,buick,IC Output High/Pulse Detected When Grounded Cyl.3
P1353,cadillac,IC Output High/Pulse Detected When Grounded Cyl.3
P1353,chevy,IC Output High/Pulse Detected When Grounded Cyl.3
P1353,chrysler,IC Output High Pulse Detected When Grounded Cyl 3
P1353,ford,Ignition Coil B Primary Circuit Fault
P1353,gm,IC Output High Pulse Detected When Grounded Cyl 3
P1353,gmc,IC Output High Pulse Detected When Grounded Cyl 3
P1353,lincoln,Ignition Coil B Primary Circuit Fault
P1353,mazda,Ignition Coil B Primary Circuit
P1353,mercury,Ignition Coil B Primary Circuit Fault
P1353,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 3
P1353,saturn,IC Output High Pulse Detected When Grounded Cyl.3
P1354,,Ignition Coil C Primary Circuit Malfunction
P1354,bmw,Misfire During Start Cylinder 7
P1354,buick,IC Output High/Pulse Detected When Grounded Cyl.4
P1354,cadillac,IC Output High/Pulse Detected When Grounded Cyl.4
P1354,chevy,IC Output High/Pulse Detected When Grounded Cyl.4
P1354,chrysler,IC Output High Pulse Detected When Grounded Cyl 4
P1354,ford,Ignition Coil C Primary Circuit Fault
P1354,gm,IC Output High Pulse Detected When Grounded Cyl 4
P1354,gmc,IC Output High Pulse Detected When Grounded Cyl 4
P1354,lexus,VVT System Malfunction Bank 2
P1354,lincoln,Ignition Coil C Primary Circuit Fault
P1354,mazda,Ignition Coil C Primary Circuit
P1354,mercury,Ignition Coil C Primary Circuit Fault
P1354,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 4
P1354,saturn,IC Output High Pulse Detected When Grounded Cyl.4
P1354,volkswagen,Modulation Piston Displacement Sensor Circuit Malfunction
P1355,,Ignition Coil D Primary Circuit Malfunction
P1355,bmw,Misfire Cylinder 7 With Fuel Cut-off
P1355,buick,IC Output High/Pulse Detected When Grounded Cyl.5
P1355,cadillac,IC Output High/Pulse Detected When Grounded Cyl.5
P1355,chevy,IC Output High/Pulse Detected When Grounded Cyl.5
P1355,chrysler,IC Output High Pulse Detected When Grounded Cyl 5
P1355,ford,Ignition Coil D Primary Circuit Fault
P1355,gm,IC Output High Pulse Detected When Grounded Cyl 5
P1355,gmc,IC Output High Pulse Detected When Grounded Cyl 5
P1355,lincoln,Ignition Coil D Primary Circuit Fault
P1355,mercury,Ignition Coil D Primary Circuit Fault
P1355,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 5
P1355,saturn,IC Output High Pulse Detected When Grounded Cyl.5
P1355,volkswagen,Cylinder 1 Ignition Circuit Open
P1356,bmw,Misfire During Start Cylinder 8
P1356,buick,IC Output High/Pulse Detected When Grounded Cyl.6
P1356,cadillac,IC Output High/Pulse Detected When Grounded Cyl.6
P1356,chevy,IC Output High/Pulse Detected When Grounded Cyl.6
P1356,chrysler,IC Output High Pulse Detected When Grounded Cyl 6
P1356,ford,Loss of Ignition Diagnostic Module Input to PCM
P1356,gm,IC Output High Pulse Detected When Grounded Cyl 6
P1356,gmc,IC Output High Pulse Detected When Grounded Cyl 6
P1356,lincoln,Loss of Ignition Diagnostic Module Input to PCM
P1356,mercury,Loss of Ignition Diagnostic Module Input to PCM
P1356,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 6
P1356,saturn,IC Output High Pulse Detected When Grounded Cyl.6
P1356,volkswagen,Cylinder 1 Ignition Circuit Short To B+
P1357,bmw,Misfire Cylinder 8 With Fuel Cut-off
P1357,buick,IC Output High/Pulse Detected When Grounded Cyl.7
P1357,cadillac,IC Output High/Pulse Detected When Grounded Cyl.7
P1357,chevy,IC Output High/Pulse Detected When Grounded Cyl.7
P1357,chrysler,IC Output High Pulse Detected When Grounded Cyl 7
P1357,ford,Ignition Diagnostic Monitor Pulsewidth Not Defined
P1357,gm,IC Output High Pulse Detected When Grounded Cyl 7
P1357,gmc,IC Output High Pulse Detected When Grounded Cyl 7
P1357,lincoln,Ignition Diagnostic Monitor Pulsewidth Not Defined
P1357,mercury,Ignition Diagnostic Monitor Pulsewidth Not Defined
P1357,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 7
P1357,saturn,IC Output High Pulse Detected When Grounded Cyl.7
P1357,volkswagen,Cylinder 1 Ignition Circuit Short To Ground
P1358,bmw,Misfire During Start Cylinder 9
P1358,buick,IC Output High/Pulse Detected When Grounded Cyl.8
P1358,cadillac,IC Output High/Pulse Detected When Grounded Cyl.8
P1358,chevy,IC Output High/Pulse Detected When Grounded Cyl.8
P1358,chrysler,IC Output High Pulse Detected When Grounded Cyl 8
P1358,ford,Ignition Diagnostic Monitor Signal Out of Self-Test Range
P1358,gm,IC Output High Pulse Detected When Grounded Cyl 8
P1358,gmc,IC Output High Pulse Detected When Grounded Cyl 8
P1358,lincoln,Ignition Diagnostic Monitor Signal Out of Self-Test Range
P1358,mazda,Ignition Diagnostic Monitor Signal Out Of Self Test Range
P1358,mercury,Ignition Diagnostic Monitor Signal Out of Self-Test Range
P1358,oldsmobile,IC Output High Pulse Detected When Grounded Cyl 8
P1358,saturn,IC Output High Pulse Detected When Grounded Cyl.8
P1358,volkswagen,Cylinder 2 Ignition Circuit Open
P1359,acura,CKP TDC Sensor Circuit Connector Disconnection
P1359,bmw,Misfire Cylinder 9 With Fuel Cut-off
P1359,buick,Ignition Control Circuit Group A
P1359,cadillac,Ignition Control Circuit Group A
P1359,chevy,Ignition Control Circuit Group A
P1359,chrysler,Ignition Control Circuit Group A
P1359,ford,Spark Output Circuit Fault
P1359,gm,Ignition Control Circuit Group A
P1359,gmc,Ignition Control Circuit Group A
P1359,honda,CKP TDC Sensor Circuit Connector Disconnection
P1359,infiniti,CKP TDC Sensor Circuit Connector Disconnection
P1359,lincoln,Spark Output Circuit Fault
P1359,mazda,SPOUT Signal Lost To Powertrain Control Module Or Out Of Range
P1359,mercury,Spark Output Circuit Fault
P1359,oldsmobile,Ignition Control Circuit Group A
P1359,saturn,Ignition Control Circuit Group A
P1359,volkswagen,Cylinder 2 Ignition Circuit Short To B+
P1360,,Ignition Coil A Secondary Circuit Malfunction
P1360,bmw,Misfire During Start Cylinder 10
P1360,buick,Ignition Control Circuit Group B
P1360,cadillac,Ignition Control Circuit Group B
P1360,chevy,Ignition Control Circuit Group B
P1360,chrysler,Ignition Control Circuit Group B
P1360,gm,Ignition Control Circuit Group B
P1360,gmc,Ignition Control Circuit Group B
P1360,mazda,Ignition Coil A Secondary Circuit
P1360,oldsmobile,Ignition Control Circuit Group B
P1360,saturn,Ignition Control Circuit Group B
P1360,volkswagen,Cylinder 2 Ignition Circuit Short To Ground
P1361,,Ignition Control (IC) Circuit Low Voltage
P1361,acura,TDC Sensor Intermittent Interruption
P1361,bmw,Misfire Cylinder 10 With Fuel Cut-off
P1361,buick,IC Circuit Low Voltage
P1361,cadillac,IC Circuit Low Voltage
P1361,chevy,IC Circuit Low Voltage
P1361,chrysler,IC Circuit Low Voltage
P1361,gm,IC Circuit Low Voltage
P1361,gmc,IC Circuit Low Voltage
P1361,honda,TDC Sensor Intermittent Interruption
P1361,infiniti,TDC Sensor Intermittent Interruption
P1361,jaguar,Ignition Coil Cylinder 1 No Activation
P1361,lincoln,Ignition Control IC Circuit Low Voltage
P1361,mazda,Ignition Coil B Secondary Circuit
P1361,mercury,Ignition Control IC Circuit Low Voltage
P1361,oldsmobile,IC Circuit Low Voltage
P1361,saturn,IC Circuit Low Voltage
P1361,volkswagen,Cylinder 3 Ignition Circuit Open
P1362,,Ignition Coil C Secondary Circuit Malfunction
P1362,acura,TDC1 Sensor No Signal
P1362,bmw,Misfire During Start Cylinder 11
P1362,buick,IC Cylinder 2 Not Toggling After Enable
P1362,cadillac,IC Cylinder 2 Not Toggling After Enable
P1362,chevy,IC Cylinder 2 Not Toggling After Enable
P1362,chrysler,IC Cylinder 2 Not Toggling After Enable
P1362,gm,IC Cylinder 2 Not Toggling After Enable
P1362,gmc,IC Cylinder 2 Not Toggling After Enable
P1362,honda,TDC1 Sensor No Signal
P1362,infiniti,TDC1 Sensor No Signal
P1362,jaguar,Ignition Coil Cylinder 2 No Activation
P1362,mazda,Ignition Coil C Secondary Circuit
P1362,oldsmobile,IC Cylinder 2 Not Toggling After Enable
P1362,saturn,IC Cylinder 2 Not Toggling After Enable
P1362,volkswagen,Cylinder 3 Ignition Circuit Short To B+
P1363,,Ignition Coil D Secondary Circuit Malfunction
P1363,bmw,Misfire Cylinder 11 With Fuel Cut-off
P1363,buick,IC Cylinder 3 Not Toggling After Enable
P1363,cadillac,IC Cylinder 3 Not Toggling After Enable
P1363,chevy,IC Cylinder 3 Not Toggling After Enable
P1363,chrysler,IC Cylinder 3 Not Toggling After Enable
P1363,gm,IC Cylinder 3 Not Toggling After Enable
P1363,gmc,IC Cylinder 3 Not Toggling After Enable
P1363,jaguar,Ignition Coil Cylinder 3 No Activation
P1363,oldsmobile,IC Cylinder 3 Not Toggling After Enable
P1363,saturn,IC Cylinder 3 Not Toggling After Enable
P1363,volkswagen,Cylinder 3 Ignition Circuit Short To Ground
P1364,,Ignition Coil Primary Circuit Failure
P1364,bmw,Misfire During Start Cylinder 12
P1364,buick,IC Cylinder 4 Not Toggling After Enable
P1364,cadillac,IC Cylinder 4 Not Toggling After Enable
P1364,chevy,IC Cylinder 4 Not Toggling After Enable
P1364,chrysler,IC Cylinder 4 Not Toggling After Enable
P1364,ford,Ignition Coil Primary Circuit Fault
P1364,gm,IC Cylinder 4 Not Toggling After Enable
P1364,gmc,IC Cylinder 4 Not Toggling After Enable
P1364,jaguar,Ignition Coil Cylinder 4 No Activation
P1364,lincoln,Ignition Coil Primary Circuit Fault
P1364,mazda,Ignition Coil Primary Circuit
P1364,mercury,Ignition Coil Primary Circuit Fault
P1364,oldsmobile,IC Cylinder 4 Not Toggling After Enable
P1364,saturn,IC Cylinder 4 Not Toggling After Enable
P1364,volkswagen,Cylinder 4 Ignition Circuit Open
P1365,,Ignition Coil Secondary Circuit Failure
P1365,bmw,Misfire Cylinder 12 With Fuel Cut-off
P1365,buick,IC Cylinder 5 Not Toggling After Enable
P1365,cadillac,IC Cylinder 5 Not Toggling After Enable
P1365,chevy,IC Cylinder 5 Not Toggling After Enable
P1365,chrysler,IC Cylinder 5 Not Toggling After Enable
P1365,gm,IC Cylinder 5 Not Toggling After Enable
P1365,gmc,IC Cylinder 5 Not Toggling After Enable
P1365,jaguar,Ignition Coil Cylinder 5 No Activation
P1365,mazda,Ignition Coil Secondary Circuit
P1365,oldsmobile,IC Cylinder 5 Not Toggling After Enable
P1365,saturn,IC Cylinder 5 Not Toggling After Enable
P1365,volkswagen,Cylinder 4 Ignition Circuit Short To B+
P1366,,Ignition Spare
P1366,acura,TDC2 Sensor Intermittent
P1366,buick,IC Cylinder 6 Not Toggling AFter Enable
P1366,cadillac,IC Cylinder 6 Not Toggling After Enable
P1366,chevy,IC Cylinder 6 Not Toggling After Enable
P1366,chrysler,IC Cylinder 6 Not Toggling After Enable
P1366,gm,IC Cylinder 6 Not Toggling After Enable
P1366,gmc,IC Cylinder 6 Not Toggling After Enable
P1366,honda,TDC2 Sensor Intermittent
P1366,infiniti,TDC2 Sensor Intermittent
P1366,jaguar,Ignition Coil Cylinder 6 No Activation
P1366,oldsmobile,IC Cylinder 6 Not Toggling After Enable
P1366,saturn,IC Cylinder 6 Not Toggling After Enable
P1366,volkswagen,Cylinder 4 Ignition Circuit Short To Ground
P1367,,Ignition Spare
P1367,acura,TDC2 Sensor No Signal
P1367,buick,IC Cylinder 7 Not Toggling After Enable
P1367,cadillac,IC Cylinder 7 Not Toggling After Enable
P1367,chevy,IC Cylinder 7 Not Toggling After Enable
P1367,chrysler,IC Cylinder 7 Not Toggling After Enable
P1367,gm,IC Cylinder 7 Not Toggling After Enable
P1367,gmc,IC Cylinder 7 Not Toggling After Enable
P1367,honda,TDC2 Sensor No Signal
P1367,infiniti,TDC2 Sensor No Signal
P1367,jaguar,Ignition System Failure Group 1
P1367,oldsmobile,IC Cylinder 7 Not Toggling After Enable
P1367,saturn,IC Cylinder 7 Not Toggling After Enable
P1367,volkswagen,Cylinder 5 Ignition Circuit Open
P1368,,Ignition Spare
P1368,buick,IC Cylinder 8 Not Toggling After Enable
P1368,cadillac,IC Cylinder 8 Not Toggling After Enable
P1368,chevy,IC Cylinder 8 Not Toggling After Enable
P1368,chrysler,IC Cylinder 8 Not Toggling After Enable
P1368,gm,IC Cylinder 8 Not Toggling After Enable
P1368,gmc,IC Cylinder 8 Not Toggling After Enable
P1368,jaguar,Ignition System Failure Group 2
P1368,oldsmobile,IC Cylinder 8 Not Toggling After Enable
P1368,saturn,IC Cylinder 8 Not Toggling After Enable
P1368,volkswagen,Cylinder 5 Ignition Circuit Short To B+
P1369,,Engine Temperature Light Monitor Failure
P1369,volkswagen,Cylinder 5 Ignition Circuit Short To Ground
P1370,,Insufficient RMP Increase During Spark Test
P1370,buick,IC Module 4X Reference Circuit, Too Many Pulses
P1370,cadillac,IC Module 4X Reference Circuit Too Many Pulses
P1370,chevy,IC Module 4X Reference Circuit Too Many Pulses
P1370,chrysler,IC Module 4X Reference Circuit Too Many Pulses
P1370,gm,IC Module 4X Reference Circuit Too Many Pulses
P1370,gmc,IC Module 4X Reference Circuit Too Many Pulses
P1370,jaguar,Insufficient RPM Increase During Spark Test
P1370,oldsmobile,IC Module 4X Reference Circuit Too Many Pulses
P1370,saturn,IC Module 4X Reference Circuit Too Many Pulses
P1370,volkswagen,Cylinder 6 Ignition Circuit Open
P1371,,Ignition Coil - Cylinder 1 - Early Activation Fault
P1371,buick,DI Low Resolution Circuit
P1371,cadillac,DI Low Resolution Circuit
P1371,chevy,DI Low Resolution Circuit
P1371,chrysler,DI Low Resolution Circuit
P1371,gm,DI Low Resolution Circuit
P1371,gmc,DI Low Resolution Circuit
P1371,jaguar,Ignition Coil Cylinder 1 Early Activation Fault
P1371,oldsmobile,DI Low Resolution Circuit
P1371,saturn,DI Low Resolution Circuit
P1371,volkswagen,Cylinder 6 Ignition Circuit Short To B+
P1372,,Ignition Coil - Cylinder 2 - Early Activation Fault
P1372,buick,Crankshaft Position Sensor Circuit Performance
P1372,cadillac,Crankshaft Position Sensor Circuit Performance
P1372,chevy,Crankshaft Position Sensor Circuit Performance
P1372,chrysler,Crankshaft Position Sensor Circuit Performance
P1372,gm,Crankshaft Position Sensor Circuit Performance
P1372,gmc,Crankshaft Position Sensor Circuit Performance
P1372,jaguar,Ignition Coil Cylinder 2 Early Activation Fault
P1372,oldsmobile,Crankshaft Position Sensor Circuit Performance
P1372,saturn,Crankshaft Position Sensor Circuit Performance
P1372,volkswagen,Cylinder 6 Ignition Circuit Short To Ground
P1373,,Ignition Coil - Cylinder 3 - Early Activation Fault
P1373,jaguar,Ignition Coil Cylinder 3 Early Activation Fault
P1373,volkswagen,Cylinder 7 Ignition Circuit Open
P1374,,Crankshaft Position (CKP)/Ignition Coil - Cylinder 4 - Early Activation Fault
P1374,buick,3X Reference Circuit
P1374,cadillac,3X Reference Circuit
P1374,chevy,3X Reference Circuit
P1374,chrysler,3X Reference Circuit
P1374,gm,3X Reference Circuit
P1374,gmc,3X Reference Circuit
P1374,jaguar,Ignition Coil Cylinder 4 Early Activation Fault
P1374,oldsmobile,3X Reference Circuit
P1374,saturn,3X Reference Circuit
P1374,volkswagen,Cylinder 7 Ignition Circuit Short To B+
P1375,,Ignition Coil - Cylinder 5 - Early Activation Fault
P1375,buick,24X Reference Circuit High Voltage
P1375,cadillac,24X Reference Circuit High Voltage
P1375,chevy,24X Reference Circuit High Voltage
P1375,chrysler,24X Reference Circuit High Voltage
P1375,gm,24X Reference Circuit High Voltage
P1375,gmc,24X Reference Circuit High Voltage
P1375,jaguar,Ignition Coil Cylinder 5 Early Activation Fault
P1375,oldsmobile,24X Reference Circuit High Voltage
P1375,saturn,24X Reference Circuit High Voltage
P1375,volkswagen,Cylinder 7 Ignition Circuit Short To Ground
P1376,,Ignition Coil - Cylinder 6 - Early Activation Fault
P1376,buick,Ignition Ground Circuit
P1376,cadillac,Ignition Ground Circuit
P1376,chevy,Ignition Ground Circuit
P1376,chrysler,Ignition Ground Circuit
P1376,gm,Ignition Ground Circuit
P1376,gmc,Ignition Ground Circuit
P1376,jaguar,Ignition Coil Cylinder 6 Early Activation Fault
P1376,oldsmobile,Ignition Ground Circuit
P1376,saturn,Ignition Ground Circuit
P1376,volkswagen,Cylinder 8 Ignition Circuit Open
P1377,buick,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,cadillac,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,chevy,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,chrysler,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,gm,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,gmc,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,oldsmobile,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,saturn,IC Module CAM Pulse To 4X Reference Pulse Comparison
P1377,volkswagen,Cylinder 8 Ignition Circuit Short To B+
P1378,volkswagen,Cylinder 8 Ignition Circuit Short To Ground
P1380,,Misfire Detected - Rough Road Data Not Available
P1380,buick,Misfire Detected Rough Road Data Not Available
P1380,cadillac,Misfire Detected Rough Road Data Not Available
P1380,chevy,Misfire Detected Rough Road Data Not Available
P1380,chrysler,Misfire Detected Rough Road Data Not Available
P1380,ford,VCT Solenoid Valve Circuit Short or Open
P1380,gm,Misfire Detected Rough Road Data Not Available
P1380,gmc,Misfire Detected Rough Road Data Not Available
P1380,lincoln,VCT Solenoid Valve Circuit Short or Open
P1380,mercury,VCT Solenoid Valve Circuit Short or Open
P1380,oldsmobile,Misfire Detected Rough Road Data Not Available
P1380,saturn,Misfire Detected Rough Road Data Not Available
P1381,,Variable Cam Timing Overadvanced (Bank #1)/ Misfire Detected - No Communication with BCM
P1381,acura,CYP Sensor A Intermittent Interruption
P1381,buick,Misfire Detected No Communication with Brake Control Module
P1381,cadillac,Misfire Detected No Communication with Brake Control Module
P1381,chevy,Misfire Detected No Communication with Brake Control Module
P1381,chrysler,Misfire Detected No Communication with Brake Control Module
P1381,ford,Cam Timing Advance is Excessive
P1381,gm,Misfire Detected No Communication with Brake Control Module
P1381,gmc,Misfire Detected No Communication with Brake Control Module
P1381,honda,CYP Sensor A Intermittent Interruption
P1381,infiniti,CYP Sensor A Intermittent Interruption
P1381,lincoln,Cam Timing Advance is Excessive
P1381,mercury,Cam Timing Advance is Excessive
P1381,oldsmobile,Misfire Detected No Communication with Brake Control Module
P1381,saturn,Misfire Detected No Communication with Brake Control Module
P1382,,Variable Cam Timing Solenoid #1 Circuit Malfunction
P1382,acura,CYP Sensor A No Signal
P1382,honda,CYP Sensor A No Signal
P1382,infiniti,CYP Sensor A No Signal
P1382,mazda,Camshaft Position Timing Solenoid 1 Circuit
P1383,,Variable Cam Timing Overretarded (Bank #1)
P1383,ford,Cam Timing Advance is Excessive
P1383,lincoln,Cam Timing Advance is Excessive
P1383,mercury,Cam Timing Advance is Excessive
P1384,,VVT Solenoid A Malfunction
P1384,bmw,Knock Sensor 3 Circuit
P1384,jaguar,Variable Valve Timing Solenoid A Circuit
P1385,,Variable Cam Timing Solenoid B Malfunction
P1385,bmw,Knock Sensor 4 Circuit
P1386,,Variable Cam Timing Overadvanced (Bank #2)
P1386,acura,CYP Sensor B Intermittent Interruption
P1386,bmw,Control Module Self-test Knock Control Baseline Test Bank 1
P1386,ford,Variable Cam Timing Overadvanced Bank 2
P1386,honda,CYP Sensor B Intermittent Interruption
P1386,infiniti,CYP Sensor B Intermittent Interruption
P1386,kia,Knock Sensor Control Zero Test
P1386,lincoln,Variable Cam Timing Overadvanced Bank 2
P1386,mercury,Variable Cam Timing Overadvanced Bank 2
P1386,volkswagen,Internal Control Module Knock Control Error
P1387,,Variable Cam Timing Solenoid #2 Circuit Malfunction
P1387,acura,CYP Sensor B No Signal
P1387,honda,CYP Sensor B No Signal
P1387,infiniti,CYP Sensor B No Signal
P1387,mazda,Camshaft Position Timing Solenoid 2 Circuit
P1387,volkswagen,Control Unit Internal Altitude Sensor
P1388,,Variable Cam Timing Overretarded (Bank #2)
P1388,dodge,Auto Shutdown (ASD) Relay Control Circuit Open Or Shorted
P1388,ford,Variable Cam Timing Overretarded Bank 2
P1388,jeep,Auto Shutdown (ASD) Relay Control Circuit Open Or Shorted
